taxonomy_id	name	rank	BGG_KOSDC	BGG_MOSDA	BGG_QOSDA	BGG_POSDC	BGG_BOSW	BGG_NOSDA	BGG_LOSDA	BGG_ROSDA	BGG_OOSDC
265959	Komagataeibacter saccharivorans	species	21	7	4	9	83	8	1	0	15
28448	Komagataeibacter xylinus	species	10	51	6	11	84	4	3	2	38
1296990	Komagataeibacter xylinus E25	strain	1	3	2	0	46	4	0	2	2
436	Novacetimonas hansenii	species	4	9	0	1	38	2	3	1	13
33995	Komagataeibacter europaeus	species	4	0	0	2	47	1	2	6	2
265960	Komagataeibacter nataicola	species	2	5	2	2	33	8	0	2	10
1177712	Komagataeibacter medellinensis	species	0	0	0	0	0	0	0	0	0
634177	Komagataeibacter medellinensis NBRC 3288	strain	1	2	0	1	32	0	0	0	5
2804525	Lichenicola	genus	0	0	0	0	0	0	0	0	0
1484109	Lichenicola cladoniae	species	92	177	41	117	483	112	19	80	765
89583	Gluconacetobacter	genus	0	0	0	0	0	0	0	0	0
33996	Gluconacetobacter diazotrophicus	species	0	0	0	0	0	0	0	0	0
272568	Gluconacetobacter diazotrophicus PA1 5	strain	49	56	11	28	292	121	2	85	99
434	Acetobacter	genus	5	9	17	2	98	6	0	11	28
151157	Acetobacter subgen. Acetobacter	subgenus	0	0	0	0	0	0	0	0	0
435	Acetobacter aceti	species	9	13	6	11	106	9	2	10	20
887700	Acetobacter aceti NBRC 14818	strain	1	3	0	0	62	2	0	0	3
2628570	unclassified Acetobacter	no rank	0	0	0	0	0	0	0	0	0
2592655	Acetobacter vaccinii	species	9	3	0	2	22	0	4	0	15
431306	Acetobacter ghanensis	species	5	0	0	2	14	1	0	0	3
146474	Acetobacter orientalis	species	1	0	0	0	8	0	0	3	2
446692	Acetobacter senegalensis	species	1	0	0	1	6	0	0	0	0
481146	Acetobacter ascendens	species	1	2	0	0	27	5	0	0	0
320496	Neoasaia	genus	0	0	0	0	0	0	0	0	0
320497	Neoasaia chiangmaiensis	species	26	4	2	1	52	1	0	8	17
364409	Granulibacter	genus	0	0	0	0	0	0	0	0	0
364410	Granulibacter bethesdensis	species	24	25	6	22	196	14	0	17	99
441	Gluconobacter	genus	8	4	1	18	59	3	6	9	31
442	Gluconobacter oxydans	species	4	3	4	1	13	5	0	1	6
290633	Gluconobacter oxydans 621H	strain	3	0	2	1	15	0	2	0	8
1288313	Gluconobacter oxydans DSM 3504	strain	1	0	4	0	26	0	0	1	1
2791118	Oecophyllibacter	genus	0	0	0	0	0	0	0	0	0
2558360	Oecophyllibacter saccharovorans	species	6	1	0	1	30	2	0	1	10
91914	Asaia	genus	0	0	0	0	0	0	0	0	0
91915	Asaia bogorensis	species	2	5	2	9	30	4	1	8	7
1231624	Asaia bogorensis NBRC 16594	strain	2	1	3	0	37	0	0	7	6
153497	Kozakia	genus	0	0	0	0	0	0	0	0	0
153496	Kozakia baliensis	species	3	4	1	2	83	7	0	0	12
2811380	Entomobacter	genus	0	0	0	0	0	0	0	0	0
2762277	Entomobacter blattae	species	1	6	2	0	41	4	0	0	1
2829815	Azospirillaceae	family	801	887	346	885	1547	823	161	960	1962
191	Azospirillum	genus	1767	2020	547	2379	3767	2929	297	1123	3170
2630922	unclassified Azospirillum	no rank	51	73	15	91	99	82	20	27	85
137722	Azospirillum sp. B510	species	55	63	12	24	166	30	4	59	101
709810	Azospirillum sp. TSA2s	species	29	39	12	39	181	25	10	31	43
652764	Azospirillum sp. TSH100	species	24	44	22	32	232	58	7	48	53
664962	Azospirillum sp. TSH58	species	20	13	8	7	82	15	8	14	40
192	Azospirillum brasilense	species	127	139	56	151	492	76	63	70	193
2202148	Azospirillum thermophilum	species	96	93	18	117	445	50	15	46	192
528244	Azospirillum thiophilum	species	66	57	24	35	260	42	26	44	90
1226968	Azospirillum humicireducens	species	43	95	15	56	104	68	9	19	37
286727	Azospirillum oryzae	species	32	27	43	16	100	12	11	48	37
682998	Azospirillum ramasamyi	species	22	33	4	27	106	19	7	25	25
193	Azospirillum lipoferum	species	0	0	0	0	0	0	0	0	0
862719	Azospirillum lipoferum 4B	strain	21	30	4	32	171	24	1	20	36
1064539	Azospirillum baldaniorum	species	14	21	20	16	69	10	3	20	43
204447	Skermanella	genus	309	372	337	291	412	831	47	1513	661
2632462	unclassified Skermanella	no rank	0	0	0	0	0	0	0	0	0
2775420	Skermanella sp. TT6	species	259	314	319	665	466	841	77	1528	511
2233999	Skermanella pratensis	species	179	313	209	205	291	692	59	1238	482
1543705	Nitrospirillum	genus	0	0	0	0	0	0	0	0	0
28077	Nitrospirillum amazonense	species	0	0	0	0	0	0	0	0	0
1441467	Nitrospirillum amazonense CBAmc	strain	171	185	28	183	549	145	15	59	185
2478349	Indioceanicola	genus	0	0	0	0	0	0	0	0	0
2220096	Indioceanicola profundi	species	89	116	32	55	301	95	19	84	225
1543704	Niveispirillum	genus	0	0	0	0	0	0	0	0	0
1612173	Niveispirillum cyanobacteriorum	species	33	18	28	8	194	67	3	21	33
41295	Rhodospirillaceae	family	515	692	109	553	1119	691	237	274	1172
2705399	Hypericibacter	genus	642	658	97	519	761	370	87	272	723
2602016	Hypericibacter adhaerens	species	444	395	77	330	899	409	112	254	433
2602015	Hypericibacter terrae	species	401	489	108	380	968	1215	75	252	388
13134	Magnetospirillum	genus	121	219	44	192	522	149	131	45	412
55518	Magnetospirillum gryphiswaldense	species	117	226	33	108	369	128	12	19	151
431944	Magnetospirillum gryphiswaldense MSR-1	strain	0	0	0	0	0	0	0	0	0
1430440	Magnetospirillum gryphiswaldense MSR-1 v2	no rank	16	7	4	10	56	2	0	2	57
2617991	unclassified Magnetospirillum	no rank	28	16	47	36	207	15	5	15	85
1639348	Magnetospirillum sp. ME-1	species	32	61	19	110	221	1140	14	64	120
1663591	Magnetospirillum sp. XM-1	species	21	47	19	11	168	14	14	14	65
84159	Magnetospirillum magneticum	species	0	0	0	0	0	0	0	0	0
342108	Magnetospirillum magneticum AMB-1	strain	57	170	10	85	214	180	9	28	81
111830	Defluviicoccus	genus	0	0	0	0	0	0	0	0	0
111831	Defluviicoccus vanus	species	294	1099	468	471	303	636	104	1527	3545
1231242	Ferrovibrio	genus	0	0	0	0	0	0	0	0	0
2594003	Ferrovibrio terrae	species	235	349	34	240	987	295	75	263	389
171436	Tistrella	genus	0	0	0	0	0	0	0	0	0
171437	Tistrella mobilis	species	0	0	0	0	0	0	0	0	0
1110502	Tistrella mobilis KA081020-065	strain	231	337	44	275	638	250	36	65	289
1081	Rhodospirillum	genus	1	0	0	1	13	1	0	0	15
34018	Rhodospirillum centenum	species	0	0	0	0	0	0	0	0	0
414684	Rhodospirillum centenum SW	strain	69	48	20	112	398	22	6	27	130
1085	Rhodospirillum rubrum	species	45	60	19	30	373	48	15	24	60
1612157	Pararhodospirillum	genus	0	0	0	0	0	0	0	0	0
1084	Pararhodospirillum photometricum	species	0	0	0	0	0	0	0	0	0
