sample	clade_name	clade_taxid	relative_abundance	estimated_number_of_reads_from_the_clade
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_erythropolis	2|201174|1760|85007|85025|1827|1833	0.21807	11335
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium|s__Janthinobacterium_lividum	2|1224|28216|80840|75682|29580|29581	0.21553	11226
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herminiimonas|s__Herminiimonas_sp_CN	2|1224|28216|80840|75682|303379|1349818	0.21283	5949
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified|s__Hyphomicrobiales_bacterium	2|1224|28211|356|||1909294	0.17327	9415
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp_Root608	2|1224|28211|204458|76892|41275|1736569	0.17036	3601
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Devosiaceae|g__Devosia|s__Devosia_limi	2|1224|28211|356|2831106|46913|288995	0.16187	5298
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosospira|s__Nitrosospira_briensis	2|1224|28216|32003|206379|35798|35799	0.15541	3882
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__GGB73974|s__GGB73974_SGB56606	2|1224|28211|356|82115||	0.15052	4954
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales|f__Sporichthyaceae|g__Sporichthya|s__Sporichthya_polymorpha	2|201174|1760|2495578|85033|35750|35751	0.14821	6177
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Siccirubricoccus|s__Siccirubricoccus_deserti	2|1224|28211|204441|433|2044848|2013562	0.13721	6561
BGG_BOSW	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aequorivita|s__Aequorivita_soesokkakensis	2|976|117743|200644|49546|153265|1385699	0.13668	3279
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_sp_SLTY	2|1224|28211|204458|76892|75|2683262	0.12829	3968
BGG_BOSW	k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Spirosomaceae|g__Dyadobacter|s__Dyadobacter_alkalitolerans	2|976|768503|768507|2896860|120831|492736	0.12077	5753
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methylotenera|s__Methylotenera_versatilis	2|1224|28216|32003|32011|359407|1055487	0.11942	2277
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax_sp_PAMC_28711	2|1224|28216|80840|80864|34072|1795631	0.1169	3823
BGG_BOSW	k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Daejeonella|s__Daejeonella_rubra	2|976|117747|200666|84566|2762385|990371	0.11613	3765
BGG_BOSW	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus_SGB106727	2|1239|91061|1385|186818|1372|	0.11611	3123
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae|g__GGB78195|s__GGB78195_SGB107724	2|201174|84992|84993|633392||	0.11045	3524
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Roseococcus|s__Roseococcus_sp_SYP_B2431	2|1224|28211|204441|433|35812|2496640	0.09637	3438
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__CFGB26270|o__OFGB26270|f__FGB26270|g__GGB44798|s__GGB44798_SGB62263	2|1224|||||	0.09248	3327
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_mirabilis	2|1224|28211|204458|76892|75|69666	0.08422	2921
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__CFGB75194|o__OFGB75194|f__FGB75194|g__GGB78139|s__GGB78139_SGB107604	2|201174|||||	0.08367	2140
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB100155	2|201174|84998|84999|84107|102106|	0.0833	3642
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae|g__Corallococcus|s__Corallococcus_terminator	2|1224|28221|29|31|83461|2316733	0.08177	6498
BGG_BOSW	k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales|f__Lacipirellulaceae|g__Lacipirellula|s__Lacipirellula_limnantheis	2|203682|203683|2691354|2691359|2691417|2528024	0.08017	4250
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Cryobacterium|s__Cryobacterium_sp_HLT2_28	2|201174|1760|85006|85023|69578|1259146	0.07907	2246
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Intrasporangiaceae|g__Pedococcus|s__Pedococcus_bigeumensis	2|201174|1760|85006|85021|2805645|433644	0.07684	2459
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Pseudolysinimonas|s__Pseudolysinimonas_yzui	2|201174|1760|85006|85023|2680005|2708254	0.07651	1812
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_sp_OPL5	2|1224|28211|204457|41297|165697|2486273	0.07046	2531
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_alpinus	2|201174|1760|85009|85015|1839|748909	0.07028	2461
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae|g__GGB78197|s__GGB78197_SGB107723	2|201174|84992|84993|633392||	0.06718	1916
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium_sp_KCTC_72723	2|1224|28211|204457|41297|165695|2733867	0.06623	2004
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Noviherbaspirillum|s__Noviherbaspirillum_soli	2|1224|28216|80840|75682|1344552|1064518	0.0639	2720
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_sp_Root482	2|1224|28211|356|82115|379|1736543	0.06072	2436
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Pseudarthrobacter|s__Pseudarthrobacter_sp_AB1	2|201174|1760|85006|1268|1742993|2138309	0.06025	1954
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Williamsia|s__Williamsia_phyllosphaerae	2|201174|1760|85007|85025|85043|885042	0.05942	2180
BGG_BOSW	k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__GGB46626|s__GGB46626_SGB104396	2|976|768503|768507|563798||	0.05494	2141
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales|f__Miltoncostaeaceae|g__Miltoncostaea|s__Miltoncostaea_marina	2|201174|1497346|2843198|2843199|2843200|2843215	0.0547	1479
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae|g__Panacagrimonas|s__Panacagrimonas_perspica	2|1224|1236|1775403|568386|381430|381431	0.05431	2232
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_allogilvus	2|201174|1760|85009|85015|1839|2072017	0.05386	1694
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_sp_Leaf69	2|201174|1760|85006|1268|1663|1736232	0.05316	1672
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Devosiaceae|g__Devosia|s__Devosia_beringensis	2|1224|28211|356|2831106|46913|2657486	0.0488	1516
BGG_BOSW	k__Archaea|p__Euryarchaeota|c__CFGB10638|o__OFGB10638|f__FGB10638|g__GGB39579|s__GGB39579_SGB75387	2157|28890|||||	0.04845	600
BGG_BOSW	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus_koreensis	2|1239|91061|1385|186818|1372|112331	0.04499	1204
BGG_BOSW	k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_nyackensis	2|976|117747|200666|84566|84567|475255	0.04456	2051
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_bullata	2|1224|28211|204458|76892|41275|13160	0.04415	1234
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Microvirga|s__Microvirga_antarctica	2|1224|28211|356|119045|186650|2819233	0.04405	1525
BGG_BOSW	k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Conexibacteraceae|g__GGB78212|s__GGB78212_SGB107748	2|201174|1497346|588673|320583||	0.04404	1026
BGG_BOSW	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_potabilaquae	2|976|117743|200644|2762318|59732|2675057	0.0424	1121
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Rhodospirillaceae_unclassified|s__Rhodospirillaceae_bacterium_CCH5_H10	2|1224|28211|204441|41295||1768806	0.04232	1942
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Xanthobacteraceae|g__Pseudolabrys|s__Pseudolabrys_sp_Root1462	2|1224|28211|356|335928|556257|1736466	0.04197	1522
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Phenylobacterium|s__Phenylobacterium_sp_20VBR1	2|1224|28211|204458|76892|20|2803784	0.03963	1286
BGG_BOSW	k__Bacteria|p__Proteobacteria|c__CFGB76526|o__OFGB76526|f__FGB76526|g__GGB45095|s__GGB45095_SGB56185	2|1224|||||	0.03791	2899
